Labels,2008,2009,2010,2011,2012,2013_2014
Rounds: angel,401,290,366,522,573,1522
Rounds: seed,563,715,914,1379,1923,10810
Rounds: venture,1704,4230,7014,3079,2971,15289
Rounds: convertible_note,1,3,3,4,10,605
Rounds: debt_financing,46,170,276,157,177,2930
Rounds: grant,5,69,121,117,114,794
Rounds: post_ipo_debt,0,3,2,0,0,74
Rounds: post_ipo_equity,4,7,5,1,14,314
Rounds: private_equity,17,58,96,83,92,630
Rounds: secondary_market,0,1,1,1,,52
Rounds: equity_crowdfunding,0,0,0,0,2,2258
Rounds: product_crowdfunding,0,0,0,2,5,156
Rounds: undisclosed,52,194,238,344,339,2164
Rounds,2793,5740,9036,5689,6220,37598
Acquisitions,1102,1173,1584,1813,1565,2709
IPOs,110,217,252,222,217,386
