year_str,2011,,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,
Row Labels,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,total
Profiles: Organizations," 2,091 "," 2,146 "," 2,075 "," 1,836 "," 1,945 "," 2,156 "," 2,270 "," 1,998 "," 1,804 "," 1,857 "," 1,721 "," 1,644 "," 23,543 "
Profiles: People," 2,457 "," 2,551 "," 2,726 "," 2,390 "," 2,531 "," 2,790 "," 3,071 "," 2,844 "," 2,527 "," 2,407 "," 2,329 "," 2,079 "," 30,702 "
Profiles: Products, 235 , 307 , 247 , 241 , 366 , 382 , 329 , 217 , 236 , 215 , 230 , 247 ," 3,252 "
Profiles," 4,783 "," 5,004 "," 5,048 "," 4,467 "," 4,842 "," 5,328 "," 5,670 "," 5,059 "," 4,567 "," 4,479 "," 4,280 "," 3,970 "," 57,497 "
Rounds: angel, 39 , 34 , 39 , 49 , 52 , 42 , 56 , 48 , 51 , 34 , 49 , 29 , 522 
Rounds: seed, 71 , 89 , 133 , 105 , 121 , 133 , 130 , 115 , 125 , 113 , 137 , 107 ," 1,379 "
Rounds: venture, 273 , 242 , 252 , 226 , 261 , 295 , 248 , 285 , 269 , 257 , 243 , 228 ," 3,079 "
Rounds: convertible_note,,,,, 1 , 1 , 1 ,,, 1 ,,, 4 
Rounds: debt_financing, 13 , 13 , 9 , 8 , 12 , 12 , 10 , 14 , 16 , 21 , 10 , 19 , 157 
Rounds: grant, 10 , 11 , 4 , 5 , 11 , 9 , 5 , 19 , 11 , 9 , 9 , 14 , 117 
Rounds: post_ipo_equity,, 1 ,,,,,,,,,,, 1 
Rounds: private_equity, 10 , 3 , 7 , 8 , 2 , 9 , 13 , 6 , 9 , 4 , 6 , 6 , 83 
Rounds: product_crowdfunding, 1 ,,,,,,, 1 ,,,,, 2 
Rounds: secondary_market,,,,,,,,, 1 ,,,, 1 
Rounds: undisclosed, 19 , 26 , 26 , 23 , 26 , 35 , 37 , 38 , 42 , 35 , 23 , 14 , 344 
Rounds, 436 , 419 , 470 , 424 , 486 , 536 , 500 , 526 , 524 , 474 , 477 , 417 ," 5,689 "
Acquisitions, 244 , 133 , 143 , 141 , 144 , 168 , 180 , 150 , 139 , 114 , 119 , 138 ," 1,813 "
IPOs, 23 , 26 , 10 , 30 , 30 , 19 , 19 , 7 , 6 , 11 , 18 , 23 , 222 
