year_str,2013,,,,,,,,,,,,
,,,,,,,,,,,,,
Sum of value,Column Labels,,,,,,,,,,,,
Row Labels,2013-11,2013-12,total,,,,,,,,,,
Profiles: Organizations," 6,617 "," 8,005 "," 14,622 ",,,,,,,,,,
Profiles: People," 10,296 "," 10,861 "," 21,157 ",,,,,,,,,,
Profiles: Products, 495 , 597 ," 1,092 ",,,,,,,,,,
Profiles," 17,408 "," 19,463 "," 36,871 ",,,,,,,,,,
Rounds: angel, 106 , 68 , 174 ,,,,,,,,,,
Rounds: seed, 584 , 342 , 926 ,,,,,,,,,,
Rounds: venture," 1,524 "," 1,647 "," 3,171 ",,,,,,,,,,
Rounds: convertible_note, 47 , 26 , 73 ,,,,,,,,,,
Rounds: debt_financing, 361 , 411 , 772 ,,,,,,,,,,
Rounds: equity_crowdfunding,, 6 , 6 ,,,,,,,,,,
Rounds: grant, 57 , 52 , 109 ,,,,,,,,,,
Rounds: post_ipo_debt,, 2 , 2 ,,,,,,,,,,
Rounds: post_ipo_equity, 15 , 10 , 25 ,,,,,,,,,,
Rounds: private_equity, 42 , 40 , 82 ,,,,,,,,,,
Rounds: product_crowdfunding, 13 , 16 , 29 ,,,,,,,,,,
Rounds: secondary_market,, 17 , 17 ,,,,,,,,,,
Rounds: undisclosed, 49 , 61 , 110 ,,,,,,,,,,
Rounds," 2,798 "," 2,698 ",   ,,,,,,,,,,
Acquisitions, 156 , 191 , 347 ,,,,,,,,,,
IPOs, 44 , 21 , 65 ,,,,,,,,,,
